collection_date	cage	gender	response	run	timepoint	DNR	TNBS	AOMDSS	DSS	IL10
ERR2183421	6/2/14	CM1	Male	0	run1	week_15	0	0	0	0	0
ERR2183423	6/2/14	CM1	Male	0	run1	week_15	0	0	0	0	0
ERR2183424	6/2/14	CM2	Male	0	run1	week_15	0	0	0	0	0
ERR2183425	6/2/14	CM2	Male	0	run1	week_15	0	0	0	0	0
ERR2183426	6/2/14	CM2	Male	0	run1	week_15	0	0	0	0	0
ERR2183427	6/2/14	CM3	Male	0	run1	week_15	0	0	0	0	0
ERR2183428	6/2/14	CF3	Female	0	run1	week_15	0	0	0	0	0
ERR2183429	6/17/13	TBI02	Female	1	run1	birth_D3_5	0	0	0	0	1
ERR2183430	6/2/14	CM3	Male	0	run1	week_15	0	0	0	0	0
ERR2183431	6/2/14	CF3	Female	0	run1	week_15	0	0	0	0	0
ERR2183440	9/26/13	COF1	Female	1	run1	week_14_ileal	0	0	0	0	1
ERR2183441	9/26/13	COF1	Female	1	run1	week_14_ileal	0	0	0	0	1
ERR2183442	9/26/13	COF1	Female	1	run1	week_14_ileal	0	0	0	0	1
ERR2183443	9/26/13	COF1	Female	1	run1	week_14_ileal	0	0	0	0	1
ERR2183444	9/26/13	COF2	Female	1	run1	week_14_ileal	0	0	0	0	1
ERR2183445	9/26/13	COF2	Female	1	run1	week_14_ileal	0	0	0	0	1
ERR2183446	9/26/13	COF2	Female	1	run1	week_14_ileal	0	0	0	0	1
ERR2183447	7/25/13	COF3	Female	1	run1	week_6_ileal	0	0	0	0	1
ERR2183448	6/17/13	TBI04	Female	1	run1	birth_D3_5	0	0	0	0	1
ERR2183449	7/25/13	COF3	Female	1	run1	week_6_ileal	0	0	0	0	1
ERR2183450	7/25/13	COF4	Female	1	run1	week_6_ileal	0	0	0	0	1
ERR2183451	7/25/13	COF4	Female	1	run1	week_6_ileal	0	0	0	0	1
ERR2183452	7/25/13	COF4	Female	1	run1	week_6_ileal	0	0	0	0	1
ERR2183454	6/17/13	TBI06	Female	1	run1	birth_D3_5	0	0	0	0	1
ERR2183455	6/21/13	TBI07	Female	1	run1	birth_D3_5	0	0	0	0	1
ERR2183457	6/21/13	TBI09	Female	1	run1	birth_D3_5	0	0	0	0	1
ERR2183460	6/24/13	TBI02	Female	1	run1	birth_D10_12	0	0	0	0	1
ERR2183462	6/24/13	TBI04	Female	1	run1	birth_D10_12	0	0	0	0	1
ERR2183477	6/24/13	TBI06	Female	1	run1	birth_D10_12	0	0	0	0	1
ERR2183484	7/3/13	COF1	Female	1	run1	pupday21	0	0	0	0	1
ERR2183485	7/3/13	COF1	Female	1	run1	pupday21	0	0	0	0	1
ERR2183486	7/3/13	COF1	Female	1	run1	pupday21	0	0	0	0	1
ERR2183487	7/3/13	COF1	Female	1	run1	pupday21	0	0	0	0	1
ERR2183488	6/28/13	TBI07	Female	1	run1	birth_D10_12	0	0	0	0	1
ERR2183489	7/3/13	COF1	Female	1	run1	pupday21	0	0	0	0	1
ERR2183490	7/3/13	COF2	Female	1	run1	pupday21	0	0	0	0	1
ERR2183491	7/3/13	COF2	Female	1	run1	pupday21	0	0	0	0	1
ERR2183492	7/3/13	COF2	Female	1	run1	pupday21	0	0	0	0	1
ERR2183493	7/3/13	COF3	Female	1	run1	pupday21	0	0	0	0	1
ERR2183494	7/3/13	COF3	Female	1	run1	pupday21	0	0	0	0	1
ERR2183495	7/3/13	COF3	Female	1	run1	pupday21	0	0	0	0	1
ERR2183496	7/3/13	COF4	Female	1	run1	pupday21	0	0	0	0	1
ERR2183497	7/3/13	COF4	Female	1	run1	pupday21	0	0	0	0	1
ERR2183498	7/3/13	COF4	Female	1	run1	pupday21	0	0	0	0	1
ERR2183500	7/3/13	COF4	Female	1	run1	pupday21	0	0	0	0	1
ERR2183501	7/3/13	COF4	Female	1	run1	pupday21	0	0	0	0	1
ERR2183502	7/8/13	COF5	Female	1	run1	pupday21	0	0	0	0	1
ERR2183503	7/8/13	COF5	Female	1	run1	pupday21	0	0	0	0	1
ERR2183504	7/8/13	COF5	Female	1	run1	pupday21	0	0	0	0	1
ERR2183505	7/9/13	COF6	Female	1	run1	pupday21	0	0	0	0	1
ERR2183506	7/9/13	COF6	Female	1	run1	pupday21	0	0	0	0	1
ERR2183507	7/9/13	COF6	Female	1	run1	pupday21	0	0	0	0	1
ERR2183508	7/9/13	COF6	Female	1	run1	pupday21	0	0	0	0	1
ERR2183509	6/28/13	TBI09	Female	1	run1	birth_D10_12	0	0	0	0	1
ERR2183510	7/9/13	COF6	Female	1	run1	pupday21	0	0	0	0	1
ERR2183511	7/9/13	COF5	Female	1	run1	pupday21	0	0	0	0	1
ERR2183523	11/7/13	COM2	Male	1	run1	week_21_ileal	0	0	0	0	1
ERR2183529	7/10/13	COM1	Male	1	run1	pupday28	0	0	0	0	1
ERR2183530	7/10/13	COM1	Male	1	run1	pupday28	0	0	0	0	1
ERR2183532	7/10/13	COM1	Male	1	run1	pupday28	0	0	0	0	1
ERR2183533	7/11/13	COM1	Male	1	run1	pupday28	0	0	0	0	1
ERR2183534	7/11/13	COM2	Male	1	run1	pupday28	0	0	0	0	1
ERR2183535	7/11/13	COM2	Male	1	run1	pupday28	0	0	0	0	1
ERR2183536	7/11/13	COM2	Male	1	run1	pupday28	0	0	0	0	1
ERR2183537	7/11/13	COM2	Male	1	run1	pupday28	0	0	0	0	1
ERR2183538	7/15/13	COM4	Male	1	run1	pupday28	0	0	0	0	1
ERR2183539	7/15/13	COM4	Male	1	run1	pupday28	0	0	0	0	1
ERR2183540	7/15/13	COM4	Male	1	run1	pupday28	0	0	0	0	1
ERR2183541	7/15/13	COM4	Male	1	run1	pupday28	0	0	0	0	1
ERR2183542	7/3/13	TBI02	Female	1	run1	pupday21	0	0	0	0	1
ERR2183543	7/15/13	COM4	Male	1	run1	pupday28	0	0	0	0	1
ERR2183544	7/15/13	COM3	Male	1	run1	pupday28	0	0	0	0	1
ERR2183545	7/15/13	COM3	Male	1	run1	pupday28	0	0	0	0	1
ERR2183546	7/15/13	COM3	Male	1	run1	pupday28	0	0	0	0	1
ERR2183547	7/15/13	COM3	Male	1	run1	pupday28	0	0	0	0	1
ERR2183563	7/3/13	TBI04	Female	1	run1	pupday21	0	0	0	0	1
ERR2183568	7/3/13	TBI06	Female	1	run1	pupday21	0	0	0	0	1
ERR2183569	7/9/13	TBI07	Female	1	run1	pupday21	0	0	0	0	1
ERR2183571	7/8/13	TBI09	Female	1	run1	pupday21	0	0	0	0	1
ERR2183573	7/10/13	TBI02	Female	1	run1	pupday28	0	0	0	0	1
ERR2183574	7/22/13	COF4	Female	1	run1	week_6	0	0	0	0	1
ERR2183576	7/28/13	COF5	Female	1	run1	week_6	0	0	0	0	1
ERR2183577	7/28/13	COF5	Female	1	run1	week_6	0	0	0	0	1
ERR2183578	7/28/13	COF5	Female	1	run1	week_6	0	0	0	0	1
ERR2183579	7/28/13	COF6	Female	1	run1	week_6	0	0	0	0	1
ERR2183580	7/28/13	COF6	Female	1	run1	week_6	0	0	0	0	1
ERR2183581	7/28/13	COF6	Female	1	run1	week_6	0	0	0	0	1
ERR2183582	7/28/13	COF6	Female	1	run1	week_6	0	0	0	0	1
ERR2183583	7/28/13	COF6	Female	1	run1	week_6	0	0	0	0	1
ERR2183584	7/28/13	COF5	Female	1	run1	week_6	0	0	0	0	1
ERR2183586	7/11/13	TBI04	Female	1	run1	pupday28	0	0	0	0	1
ERR2183602	9/29/13	COM2	Male	1	run1	week_15	0	0	0	0	1
ERR2183603	9/29/13	COM2	Male	1	run1	week_15	0	0	0	0	1
ERR2183604	9/29/13	COM2	Male	1	run1	week_15	0	0	0	0	1
ERR2183605	10/3/13	COF6	Female	1	run1	week_15	0	0	0	0	1
ERR2183606	7/11/13	TBI06	Female	1	run1	pupday28	0	0	0	0	1
ERR2183607	10/3/13	COM4	Male	1	run1	week_15	0	0	0	0	1
ERR2183608	10/3/13	COM4	Male	1	run1	week_15	0	0	0	0	1
ERR2183609	9/29/13	COM4	Male	1	run1	week_15	0	0	0	0	1
ERR2183610	9/29/13	COM4	Male	1	run1	week_15	0	0	0	0	1
ERR2183611	9/29/13	COM3	Male	1	run1	week_15	0	0	0	0	1
ERR2183612	9/29/13	COM3	Male	1	run1	week_15	0	0	0	0	1
ERR2183613	9/29/13	COM3	Male	1	run1	week_15	0	0	0	0	1
ERR2183614	9/29/13	COM3	Male	1	run1	week_15	0	0	0	0	1
ERR2183617	7/15/13	TBI07	Female	1	run1	pupday28	0	0	0	0	1
ERR2183621	10/3/13	COF5	Female	1	run1	week_15	0	0	0	0	1
ERR2183629	10/3/13	COF5	Female	1	run1	week_15	0	0	0	0	1
ERR2183630	10/3/13	COF5	Female	1	run1	week_15	0	0	0	0	1
ERR2183631	10/3/13	COF6	Female	1	run1	week_15	0	0	0	0	1
ERR2183632	10/3/13	COF6	Female	1	run1	week_15	0	0	0	0	1
ERR2183633	10/3/13	COF5	Female	1	run1	week_15	0	0	0	0	1
ERR2183637	7/15/13	TBI09	Female	1	run1	pupday28	0	0	0	0	1
ERR2183639	11/4/13	COF6	Female	1	run1	week_21_cecal	0	0	0	0	1
ERR2183640	11/4/13	COF6	Female	1	run1	week_21_cecal	0	0	0	0	1
ERR2183641	11/4/13	COF6	Female	1	run1	week_21_cecal	0	0	0	0	1
ERR2183642	11/4/13	COF5	Female	1	run1	week_21_cecal	0	0	0	0	1
ERR2183644	9/26/13	COF1	Female	1	run1	week_14_cecal	0	0	0	0	1
ERR2183645	9/26/13	COF1	Female	1	run1	week_14_cecal	0	0	0	0	1
ERR2183646	9/26/13	COF1	Female	1	run1	week_14_cecal	0	0	0	0	1
ERR2183647	9/26/13	COF1	Female	1	run1	week_14_cecal	0	0	0	0	1
ERR2183649	9/26/13	COF1	Female	1	run1	week_14_cecal	0	0	0	0	1
ERR2183650	9/26/13	COF2	Female	1	run1	week_14_cecal	0	0	0	0	1
ERR2183651	9/26/13	COF2	Female	1	run1	week_14_cecal	0	0	0	0	1
ERR2183652	9/26/13	COF2	Female	1	run1	week_14_cecal	0	0	0	0	1
ERR2183653	7/25/13	COF3	Female	1	run1	week_6_cecal	0	0	0	0	1
ERR2183654	7/25/13	COF3	Female	1	run1	week_6_cecal	0	0	0	0	1
ERR2183655	7/25/13	COF3	Female	1	run1	week_6_cecal	0	0	0	0	1
ERR2183656	7/25/13	COF4	Female	1	run1	week_6_cecal	0	0	0	0	1
ERR2183657	7/25/13	COF4	Female	1	run1	week_6_cecal	0	0	0	0	1
ERR2183658	7/25/13	COF4	Female	1	run1	week_6_cecal	0	0	0	0	1
ERR2183660	7/25/13	COF4	Female	1	run1	week_6_cecal	0	0	0	0	1
ERR2183661	7/25/13	COF4	Female	1	run1	week_6_cecal	0	0	0	0	1
ERR2183662	11/4/13	COF5	Female	1	run1	week_21_cecal	0	0	0	0	1
ERR2183663	11/4/13	COF5	Female	1	run1	week_21_cecal	0	0	0	0	1
ERR2183664	11/4/13	COF5	Female	1	run1	week_21_cecal	0	0	0	0	1
ERR2183665	11/4/13	COF6	Female	1	run1	week_21_cecal	0	0	0	0	1
ERR2183666	11/4/13	COF6	Female	1	run1	week_21_cecal	0	0	0	0	1
ERR2183670	7/15/13	TBI02	Female	1	run1	pupday32	0	0	0	0	1
ERR2183673	11/3/13	COF5	Female	1	run1	week_21	0	0	0	0	1
ERR2183674	11/3/13	COF5	Female	1	run1	week_21	0	0	0	0	1
ERR2183675	11/3/13	COF5	Female	1	run1	week_21	0	0	0	0	1
ERR2183677	7/15/13	TBI04	Female	1	run1	pupday32	0	0	0	0	1
ERR2183679	7/15/13	TBI06	Female	1	run1	pupday32	0	0	0	0	1
ERR2183680	7/19/13	TBI07	Female	1	run1	pupday32	0	0	0	0	1
ERR2183682	7/19/13	TBI09	Female	1	run1	pupday32	0	0	0	0	1
ERR2183685	7/19/13	TBI02	Female	1	run1	pupday36	0	0	0	0	1
ERR2183686	7/17/14	CF2	Female	0	run1	week_21_cecal	0	0	0	0	0
ERR2183687	7/22/14	CM2	Male	0	run1	week_21_cecal	0	0	0	0	0
ERR2183688	7/22/14	CM3	Male	0	run1	week_21_cecal	0	0	0	0	0
ERR2183689	7/17/14	CF3	Female	0	run1	week_21_cecal	0	0	0	0	0
ERR2183690	7/17/14	CF3	Female	0	run1	week_21_cecal	0	0	0	0	0
ERR2183695	7/22/14	CM1	Male	0	run1	week_21_ileal	0	0	0	0	0
ERR2183696	7/17/14	CF1	Female	0	run1	week_21_ileal	0	0	0	0	0
ERR2183697	7/17/14	CF1	Female	0	run1	week_21_ileal	0	0	0	0	0
ERR2183698	7/17/14	CF2	Female	0	run1	week_21_ileal	0	0	0	0	0
ERR2183699	7/24/14	CM2	Male	0	run1	week_21_ileal	0	0	0	0	0
ERR2183700	7/17/14	CF3	Female	0	run1	week_21_ileal	0	0	0	0	0
ERR2183701	7/17/14	CF3	Female	0	run1	week_21_ileal	0	0	0	0	0
ERR2183704	7/10/13	COF1	Female	1	run1	pupday28	0	0	0	0	1
ERR2183705	7/10/13	COF1	Female	1	run1	pupday28	0	0	0	0	1
ERR2183706	7/10/13	COF1	Female	1	run1	pupday28	0	0	0	0	1
ERR2183707	7/10/13	COF1	Female	1	run1	pupday28	0	0	0	0	1
ERR2183708	7/10/13	COF1	Female	1	run1	pupday28	0	0	0	0	1
ERR2183717	7/19/13	TBI06	Female	1	run2	pupday36	0	0	0	0	1
ERR2183718	7/22/13	TBI07	Female	1	run2	pupday36	0	0	0	0	1
ERR2183720	7/22/13	TBI09	Female	1	run2	pupday36	0	0	0	0	1
ERR2183723	7/28/13	TBI02	Female	1	run2	week_6	0	0	0	0	1
ERR2183725	7/28/13	TBI04	Female	1	run2	week_6	0	0	0	0	1
ERR2183727	6/14/13	TBI09	Female	1	run2	gavage_D1	0	0	0	0	1
ERR2183730	7/28/13	TBI06	Female	1	run2	week_6	0	0	0	0	1
ERR2183732	11/4/13	COF5	Female	1	run2	week_21_ileal	0	0	0	0	1
ERR2183733	11/4/13	COF5	Female	1	run2	week_21_ileal	0	0	0	0	1
ERR2183734	11/4/13	COF5	Female	1	run2	week_21_ileal	0	0	0	0	1
ERR2183735	11/4/13	COF6	Female	1	run2	week_21_ileal	0	0	0	0	1
ERR2183739	3/18/14	CF3	Female	0	run2	pupday28	0	0	0	0	0
ERR2183741	7/28/13	TBI07	Female	1	run2	week_6	0	0	0	0	1
ERR2183743	4/4/14	TBC01	Female	0	run2	week_6	0	0	0	0	0
ERR2183745	4/4/14	TBC09	Female	0	run2	week_6	0	0	0	0	0
ERR2183751	7/25/13	COF4	Female	1	run2	week_6_ileal	0	0	0	0	1
ERR2183752	7/22/14	CM2	Male	0	run2	week_21	0	0	0	0	0
ERR2183757	7/28/13	TBI09	Female	1	run2	week_6	0	0	0	0	1
ERR2183758	7/15/13	COF6	Female	1	run2	pupday28	0	0	0	0	1
ERR2183759	7/22/14	CM1	Male	0	run2	week_21_cecal	0	0	0	0	0
ERR2183761	7/22/14	CM1	Male	0	run2	week_21_ileal	0	0	0	0	0
ERR2183763	11/7/13	COM4	Male	1	run2	week_21	0	0	0	0	1
ERR2183773	7/29/13	TBI02	Female	1	run2	week_6_ileal	0	0	0	0	1
ERR2183775	7/29/13	TBI04	Female	1	run2	week_6_ileal	0	0	0	0	1
ERR2183777	7/29/13	TBI06	Female	1	run2	week_6_ileal	0	0	0	0	1
ERR2183778	7/29/13	TBI07	Female	1	run2	week_6_ileal	0	0	0	0	1
ERR2183780	7/29/13	TBI09	Female	1	run2	week_6_ileal	0	0	0	0	1
ERR2183781	2/6/14	TBC01	Female	0	run2	gavage_D1	0	0	0	0	0
ERR2183783	2/6/14	TBC03	Female	0	run2	gavage_D1	0	0	0	0	0
ERR2183785	2/6/14	TBC05	Female	0	run2	gavage_D1	0	0	0	0	0
ERR2183787	2/6/14	TBC07	Female	0	run2	gavage_D1	0	0	0	0	0
ERR2183789	2/6/14	TBC09	Female	0	run2	gavage_D1	0	0	0	0	0
ERR2183791	2/6/14	TBC11	Female	0	run2	gavage_D1	0	0	0	0	0
ERR2183793	2/6/14	TBC13	Female	0	run2	gavage_D1	0	0	0	0	0
ERR2183794	2/7/14	TBC01	Female	0	run2	gavage_D2	0	0	0	0	0
ERR2183796	2/7/14	TBC03	Female	0	run2	gavage_D2	0	0	0	0	0
ERR2183798	2/7/14	TBC05	Female	0	run2	gavage_D2	0	0	0	0	0
ERR2183800	2/7/14	TBC07	Female	0	run2	gavage_D2	0	0	0	0	0
ERR2183802	2/7/14	TBC09	Female	0	run2	gavage_D2	0	0	0	0	0
ERR2183804	2/7/14	TBC11	Female	0	run2	gavage_D2	0	0	0	0	0
ERR2183806	2/7/14	TBC13	Female	0	run2	gavage_D2	0	0	0	0	0
ERR2183807	2/9/14	TBC01	Female	0	run2	gavage_D4	0	0	0	0	0
ERR2183809	2/9/14	TBC03	Female	0	run2	gavage_D4	0	0	0	0	0
ERR2183811	2/9/14	TBC05	Female	0	run2	gavage_D4	0	0	0	0	0
ERR2183813	2/9/14	TBC07	Female	0	run2	gavage_D4	0	0	0	0	0
ERR2183815	2/9/14	TBC09	Female	0	run2	gavage_D4	0	0	0	0	0
ERR2183817	2/9/14	TBC11	Female	0	run2	gavage_D4	0	0	0	0	0
ERR2183819	2/9/14	TBC13	Female	0	run2	gavage_D4	0	0	0	0	0
ERR2183820	2/10/14	TBC01	Female	0	run2	gavage_D5	0	0	0	0	0
ERR2183821	4/16/14	TBC07	Female	0	run2	week_8_cecal	0	0	0	0	0
ERR2183823	4/16/14	TBC09	Female	0	run2	week_8_cecal	0	0	0	0	0
ERR2183825	4/16/14	TBC11	Female	0	run2	week_8_cecal	0	0	0	0	0
ERR2183827	4/16/14	TBC13	Female	0	run2	week_8_cecal	0	0	0	0	0
ERR2183828	4/16/14	TBC01	Female	0	run2	week_8_Ileal	0	0	0	0	0
ERR2183830	4/16/14	TBC03	Female	0	run2	week_8_Ileal	0	0	0	0	0
ERR2183832	4/16/14	TBC05	Female	0	run2	week_8_Ileal	0	0	0	0	0
ERR2183834	4/16/14	TBC07	Female	0	run2	week_8_Ileal	0	0	0	0	0
ERR2183836	4/16/14	TBC09	Female	0	run2	week_8_Ileal	0	0	0	0	0
ERR2183838	4/16/14	TBC11	Female	0	run2	week_8_Ileal	0	0	0	0	0
ERR2183840	4/16/14	TBC13	Female	0	run2	week_8_Ileal	0	0	0	0	0
ERR2183856	3/4/14	CM1	Male	0	run2	pupday21	0	0	0	0	0
ERR2183857	3/4/14	CF1	Female	0	run2	pupday21	0	0	0	0	0
ERR2183858	3/4/14	CF2	Female	0	run2	pupday21	0	0	0	0	0
