collection_date	genotype	Library_Name	response	DNR	TNBS	AOMDSS	DSS	IL10	study
SRR1914857	2013	C57BL/6	NoAbs_m6569	0	0	0	0	0	0	UMAA_DSS
SRR1914843	2013	C57BL/6	NoAbs_m6564	0	0	0	0	0	0	UMAA_DSS
SRR1914842	2013	C57BL/6	NoAbs_m6564	0	0	0	0	0	0	UMAA_DSS
SRR1914860	2013	C57BL/6	NoAbs_m6569	0	0	0	0	0	0	UMAA_DSS
SRR1914859	2013	C57BL/6	NoAbs_m6569	0	0	0	0	0	0	UMAA_DSS
SRR1914841	2013	C57BL/6	NoAbs_m6564	0	0	0	0	0	0	UMAA_DSS
SRR1914855	2013	C57BL/6	NoAbs_m6569	0	0	0	0	0	0	UMAA_DSS
SRR1914853	2013	C57BL/6	NoAbs_m6569	0	0	0	0	0	0	UMAA_DSS
SRR1914852	2013	C57BL/6	NoAbs_m6569	0	0	0	0	0	0	UMAA_DSS
SRR1914851	2013	C57BL/6	NoAbs_m6569	0	0	0	0	0	0	UMAA_DSS
SRR1914848	2013	C57BL/6	NoAbs_m6564	0	0	0	0	0	0	UMAA_DSS
SRR1914835	2013	C57BL/6	NoAbs_m6562	0	0	0	0	0	0	UMAA_DSS
SRR1914856	2013	C57BL/6	NoAbs_m6569	0	0	0	0	0	0	UMAA_DSS
SRR1914821	2013	C57BL/6	NoAbs_m6559	0	0	0	0	0	0	UMAA_DSS
SRR1914817	2013	C57BL/6	NoAbs_m6559	0	0	0	0	0	0	UMAA_DSS
SRR1914815	2013	C57BL/6	NoAbs_m6558	0	0	0	0	0	0	UMAA_DSS
SRR1914813	2013	C57BL/6	NoAbs_m6558	0	0	0	0	0	0	UMAA_DSS
SRR1914812	2013	C57BL/6	NoAbs_m6558	0	0	0	0	0	0	UMAA_DSS
SRR1914826	2013	C57BL/6	NoAbs_m6559	0	0	0	0	0	0	UMAA_DSS
SRR1914823	2013	C57BL/6	NoAbs_m6559	0	0	0	0	0	0	UMAA_DSS
SRR1914830	2013	C57BL/6	NoAbs_m6562	0	0	0	0	0	0	UMAA_DSS
SRR1914833	2013	C57BL/6	NoAbs_m6562	0	0	0	0	0	0	UMAA_DSS
SRR1914831	2013	C57BL/6	NoAbs_m6562	0	0	0	0	0	0	UMAA_DSS
SRR1914811	2013	C57BL/6	NoAbs_m6558	0	0	0	0	0	0	UMAA_DSS
SRR1914832	2013	C57BL/6	NoAbs_m6562	0	0	0	0	0	0	UMAA_DSS
SRR1914935	2013	C57BL/6	NoAbs_m6576	0	0	0	0	0	0	UMAA_DSS
SRR1914936	2013	C57BL/6	NoAbs_m6576	0	0	0	0	0	0	UMAA_DSS
SRR1914834	2013	C57BL/6	NoAbs_m6562	0	0	0	0	0	0	UMAA_DSS
SRR1914829	2013	C57BL/6	NoAbs_m6562	0	0	0	0	0	0	UMAA_DSS
SRR1914828	2013	C57BL/6	NoAbs_m6562	0	0	0	0	0	0	UMAA_DSS
SRR1914827	2013	C57BL/6	NoAbs_m6559	0	0	0	0	0	0	UMAA_DSS
SRR1914824	2013	C57BL/6	NoAbs_m6559	0	0	0	0	0	0	UMAA_DSS
SRR1914825	2013	C57BL/6	NoAbs_m6559	0	0	0	0	0	0	UMAA_DSS
SRR1914822	2013	C57BL/6	NoAbs_m6559	0	0	0	0	0	0	UMAA_DSS
SRR1914820	2013	C57BL/6	NoAbs_m6559	0	0	0	0	0	0	UMAA_DSS
SRR1914819	2013	C57BL/6	NoAbs_m6559	0	0	0	0	0	0	UMAA_DSS
SRR1914816	2013	C57BL/6	NoAbs_m6559	0	0	0	0	0	0	UMAA_DSS
SRR1914814	2013	C57BL/6	NoAbs_m6558	0	0	0	0	0	0	UMAA_DSS
SRR1914818	2013	C57BL/6	NoAbs_m6559	0	0	0	0	0	0	UMAA_DSS
SRR1914911	2013	C57BL/6	NoAbs_m6573	0	0	0	0	0	0	UMAA_DSS
SRR1914909	2013	C57BL/6	NoAbs_m6573	0	0	0	0	0	0	UMAA_DSS
SRR1914910	2013	C57BL/6	NoAbs_m6573	0	0	0	0	0	0	UMAA_DSS
SRR1914914	2013	C57BL/6	NoAbs_m6573	0	0	0	0	0	0	UMAA_DSS
SRR1914913	2013	C57BL/6	NoAbs_m6573	0	0	0	0	0	0	UMAA_DSS
SRR1914912	2013	C57BL/6	NoAbs_m6573	0	0	0	0	0	0	UMAA_DSS
SRR1914916	2013	C57BL/6	NoAbs_m6573	0	0	0	0	0	0	UMAA_DSS
SRR1914918	2013	C57BL/6	NoAbs_m6573	0	0	0	0	0	0	UMAA_DSS
SRR1914920	2013	C57BL/6	NoAbs_m6575	0	0	0	0	0	0	UMAA_DSS
SRR1914926	2013	C57BL/6	NoAbs_m6575	0	0	0	0	0	0	UMAA_DSS
SRR1914929	2013	C57BL/6	NoAbs_m6576	0	0	0	0	0	0	UMAA_DSS
SRR1914930	2013	C57BL/6	NoAbs_m6576	0	0	0	0	0	0	UMAA_DSS
SRR1914927	2013	C57BL/6	NoAbs_m6575	0	0	0	0	0	0	UMAA_DSS
SRR1914925	2013	C57BL/6	NoAbs_m6575	0	0	0	0	0	0	UMAA_DSS
SRR1914924	2013	C57BL/6	NoAbs_m6575	0	0	0	0	0	0	UMAA_DSS
SRR1914922	2013	C57BL/6	NoAbs_m6575	0	0	0	0	0	0	UMAA_DSS
SRR1914923	2013	C57BL/6	NoAbs_m6575	0	0	0	0	0	0	UMAA_DSS
SRR1914932	2013	C57BL/6	NoAbs_m6576	0	0	0	0	0	0	UMAA_DSS
SRR1914931	2013	C57BL/6	NoAbs_m6576	0	0	0	0	0	0	UMAA_DSS
SRR1914933	2013	C57BL/6	NoAbs_m6576	0	0	0	0	0	0	UMAA_DSS
SRR1914934	2013	C57BL/6	NoAbs_m6576	0	0	0	0	0	0	UMAA_DSS
SRR1914919	2013	C57BL/6	NoAbs_m6575	0	0	0	0	0	0	UMAA_DSS
SRR1914917	2013	C57BL/6	NoAbs_m6573	0	0	0	0	0	0	UMAA_DSS
SRR1914915	2013	C57BL/6	NoAbs_m6573	0	0	0	0	0	0	UMAA_DSS
SRR1914928	2013	C57BL/6	NoAbs_m6576	0	0	0	0	0	0	UMAA_DSS
SRR1914921	2013	C57BL/6	NoAbs_m6575	0	0	0	0	0	0	UMAA_DSS
SRR1914872	2013	C57BL/6	NoAbs_m6570	0	0	0	0	0	0	UMAA_DSS
SRR1914871	2013	C57BL/6	NoAbs_m6570	0	0	0	0	0	0	UMAA_DSS
SRR1914874	2013	C57BL/6	NoAbs_m6570	0	0	0	0	0	0	UMAA_DSS
SRR1914875	2013	C57BL/6	NoAbs_m6570	0	0	0	0	0	0	UMAA_DSS
SRR1914873	2013	C57BL/6	NoAbs_m6570	0	0	0	0	0	0	UMAA_DSS
SRR1914884	2013	C57BL/6	NoAbs_m6570	0	0	0	0	0	0	UMAA_DSS
SRR1914899	2013	C57BL/6	NoAbs_m6572	0	0	0	0	0	0	UMAA_DSS
SRR1914900	2013	C57BL/6	NoAbs_m6572	0	0	0	0	0	0	UMAA_DSS
SRR1914898	2013	C57BL/6	NoAbs_m6572	0	0	0	0	0	0	UMAA_DSS
SRR1914897	2013	C57BL/6	NoAbs_m6570	0	0	0	0	0	0	UMAA_DSS
SRR1914903	2013	C57BL/6	NoAbs_m6572	0	0	0	0	0	0	UMAA_DSS
SRR1914902	2013	C57BL/6	NoAbs_m6572	0	0	0	0	0	0	UMAA_DSS
SRR1914901	2013	C57BL/6	NoAbs_m6572	0	0	0	0	0	0	UMAA_DSS
SRR1914906	2013	C57BL/6	NoAbs_m6572	0	0	0	0	0	0	UMAA_DSS
SRR1914907	2013	C57BL/6	NoAbs_m6572	0	0	0	0	0	0	UMAA_DSS
SRR1914904	2013	C57BL/6	NoAbs_m6572	0	0	0	0	0	0	UMAA_DSS
SRR1914877	2013	C57BL/6	NoAbs_m6570	0	0	0	0	0	0	UMAA_DSS
SRR1914876	2013	C57BL/6	NoAbs_m6570	0	0	0	0	0	0	UMAA_DSS
SRR1914861	2013	C57BL/6	NoAbs_m6569	0	0	0	0	0	0	UMAA_DSS
SRR1914870	2013	C57BL/6	NoAbs_m6569	0	0	0	0	0	0	UMAA_DSS
SRR1914908	2013	C57BL/6	NoAbs_m6572	0	0	0	0	0	0	UMAA_DSS
SRR1914905	2013	C57BL/6	NoAbs_m6572	0	0	0	0	0	0	UMAA_DSS
