collection_date	genotype	Library_Name	inoculum	response	DNR	TNBS	AOMDSS	DSS
SRR6127352	08-Feb-2016	C57BL/6N	178L19	SPF-6	0	0	0	0	0
SRR6127351	08-Feb-2016	C57BL/6N	177L19	SPF-2	0	0	0	0	0
SRR6127350	24-Oct-2016	C57BL/6N	123L26	cSPF-2	0	0	0	0	0
SRR6127343	08-Feb-2016	C57BL/6N	117L19	SPF-5	0	0	0	0	0
SRR6127342	08-Feb-2016	C57BL/6N	116L19	SPF-5	0	0	0	0	0
SRR6127341	24-Oct-2016	C57BL/6N	115L26	cSPF-2	0	0	0	0	0
SRR6127340	06-Apr-2014	C57BL/6N	160L04	SPF-3	0	0	0	0	0
SRR6127339	06-Apr-2014	C57BL/6N	161L04	SPF-4	0	0	0	0	0
SRR6127336	30-Jan-2015	C57BL/6N	275L11	SPF-1	0	0	0	0	0
SRR6127334	30-Jan-2015	C57BL/6N	276L11	SPF-1	0	0	0	0	0
SRR6127330	30-Jan-2015	C57BL/6N	274L11	SPF-1	0	0	0	0	0
SRR6127324	03-Jul-2014	C57BL/6N	338L06	SPF-1	0	0	0	0	0
SRR6127322	03-Jul-2014	C57BL/6N	339L06	SPF-1	0	0	0	0	0
SRR6127320	05-Jun-2016	C57BL/6N	33L15	SPF-1	0	0	0	0	0
SRR6127318	03-Jul-2014	C57BL/6N	340L06	SPF-1	0	0	0	0	0
SRR6127315	03-Jul-2014	C57BL/6N	376L06	SPF-1	0	0	0	0	0
SRR6127310	24-Oct-2016	C57BL/6N	549L26	cSPF-2	1	0	0	0	1
SRR6127309	24-Oct-2016	C57BL/6N	551L26	cSPF-2	1	0	0	0	1
SRR6127308	24-Oct-2016	C57BL/6N	547L26	cSPF-2	1	0	0	0	1
SRR6127307	24-Oct-2016	C57BL/6N	548L26	cSPF-2	1	0	0	0	1
SRR6127305	24-Oct-2016	C57BL/6N	52L26	SPF-1	0	0	0	0	0
SRR6127304	24-Oct-2016	C57BL/6N	520L26	cSPF-2	1	0	0	0	1
SRR6127303	24-Oct-2016	C57BL/6N	521L26	cSPF-2	1	0	0	0	1
SRR6127301	24-Oct-2016	C57BL/6N	51L26	SPF-1	0	0	0	0	0
SRR6127298	24-Oct-2016	C57BL/6N	48L26	SPF-1	0	0	0	0	0
SRR6127294	24-Oct-2016	C57BL/6N	47L26	SPF-1	0	0	0	0	0
SRR6127293	24-Oct-2016	C57BL/6N	485L26	SPF-1	1	0	0	0	1
SRR6127292	24-Oct-2016	C57BL/6N	482L26	SPF-1	1	0	0	0	1
SRR6127290	24-Oct-2016	C57BL/6N	487L26	SPF-1	1	0	0	0	1
SRR6127295	24-Oct-2016	C57BL/6N	481L26	SPF-1	1	0	0	0	1
SRR6127288	24-Oct-2016	C57BL/6N	19L26	cSPF-2	0	0	0	0	0
SRR6127286	24-Oct-2016	C57BL/6N	20L26	cSPF-2	0	0	0	0	0
SRR6127285	30-Jan-2015	C57BL/6N	211L11	SPF-5	0	0	0	0	0
SRR6127284	30-Jan-2015	C57BL/6N	212L11	SPF-5	0	0	0	0	0
SRR6127282	30-Jan-2015	C57BL/6N	214L11	SPF-5	0	0	0	0	0
SRR6127281	30-Jan-2015	C57BL/6N	215L11	SPF-5	0	0	0	0	0
SRR6127280	21-Apr-2014	C57BL/6N	216L08	SPF-4	0	0	0	0	0
SRR6127279	08-Feb-2016	C57BL/6N	150L19	SPF-6	0	0	0	0	0
SRR6127278	06-Apr-2014	C57BL/6N	151L04	SPF-3	0	0	0	0	0
SRR6127277	08-Feb-2016	C57BL/6N	151L19	SPF-6	0	0	0	0	0
SRR6127275	08-Feb-2016	C57BL/6N	149L19	SPF-1	0	0	0	0	0
SRR6127272	06-Apr-2014	C57BL/6N	150L04	SPF-2	0	0	0	0	0
SRR6127271	06-Apr-2014	C57BL/6N	152L04	SPF-3	0	0	0	0	0
SRR6127270	08-Feb-2016	C57BL/6N	152L19	SPF-6	0	0	0	0	0
SRR6127283	30-Jan-2015	C57BL/6N	213L11	SPF-5	0	0	0	0	0
